State;Location;Date Posted;Date Collected;Sample Type;Unit;Ba-140;Co-60;Cs-134;Cs-136;Cs-137;I-131;I-132;I-133;Te-129;Te-129m;Te-132;Ba-140.1
ID;Boise;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
ID;Boise;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Juneau;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-03-30;2011-03-22;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-04-04;2011-03-24;Air Filter;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-04;2011-03-24;Air Filter;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Oahu;2011-03-30;2011-03-20;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
HI;Oahu;2011-03-30;2011-03-20;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
HI;Oahu;2011-03-30;2011-03-21;Air Filter;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
HI;Oahu;2011-04-04;2011-03-21;Air Filter;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
HI;Oahu;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;1;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;2;0;0.0;;;0;
HI;Oahu;2011-03-30;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-04-04;2011-03-25;Air Filter;pCi/m3;;;0;;0;0;0;;;;0;
CA;Anaheim;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
AK;Nome;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
HI;Oahu;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
HI;Oahu;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
HI;Oahu;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;San Bernardino;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-11;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-15;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-18;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-20;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-20;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-21;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-21;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-22;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-03-30;2011-03-22;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
ID;Boise;2011-03-30;2011-03-21;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
ID;Boise;2011-03-30;2011-03-21;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
ID;Boise;2011-03-30;2011-03-22;Air Filter;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
CA;Anaheim;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
CA;Anaheim;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-04;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
ID;Boise;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
ID;Boise;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
ID;Boise;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-04;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-08;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-08;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-10;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-03-30;2011-03-19;Air Cartridge;pCi/m3;0.0;0.0;0;;0;2;0;0.0;;;0;
AK;Dutch Harbor;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;0.0;0.0;0;;0;3;0;0.0;;;0;
AK;Dutch Harbor;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
AK;Dutch Harbor;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
AK;Dutch Harbor;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-09;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-08;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-09;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-09;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-09;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Dutch Harbor;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-03-30;2011-03-19;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Dutch Harbor;2011-03-30;2011-03-19;Air Filter;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
Guam;Guam;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
Guam;Guam;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
Guam;Guam;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
Guam;Guam;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-08;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-08;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-08;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-09;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-10;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
Guam;Guam;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Juneau;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Juneau;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Juneau;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-08;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-08;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-09;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-09;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Juneau;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-04;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-04;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-09;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-09;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-09;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Kauai;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-03-30;2011-03-18;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
NV;Las Vegas;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
NV;Las Vegas;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;0.0;0.0;0;;0;1;0;0.0;;;0;
NV;Las Vegas;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
NV;Las Vegas;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-04-08;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
NV;Las Vegas;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AL;Montgomery;2011-03-30;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AL;Montgomery;2011-04-04;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AL;Montgomery;2011-04-08;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AL;Montgomery;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AL;Montgomery;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;0.0;0.0;0;;0;0;0;0.0;;;0;
AK;Nome;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-08;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-08;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-08;2011-03-27;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-03-28;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
ID;Boise;2011-04-04;2011-03-23;Air Filter;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
AK;Nome;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Oahu;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
HI;Oahu;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Oahu;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0;
HI;Oahu;2011-04-09;2011-03-26;Air Cartridge;pCi/m3;0.0;0.0;0;0.0;0;1;0;0.0;0.0;0.0;0;
